wav_path,start_sec,end_sec,species,population,notes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=229.99; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunts Yap G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Galagoides_demidovii (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Strident yap G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Chatter staccato G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Rapid Whistle G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps Descending Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Double Unit Rolling Call - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=150.0; model_top1=Galagoides_demidovii (1.000); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chirrup G rondoensis - Rondo.wav,,,Paragalago_rondoensis,rondo,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_tanzania_rondo_ft.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Repetitive Call G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.75; model_top1=Otolemur_crassicaudatus (0.975); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Yap + Vib Squeaks  G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=148.15; model_top1=Paragalago_rondoensis (0.963); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Pugu.wav,,,Paragalago_rondoensis,pugu,from shortlist priority=148.15; model_top1=Galagoides_demidovii (0.963); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunt + Buzz G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=121.15; model_top1=Otolemur_crassicaudatus (0.423); source=predictions_3stage_malawi_balanced.csv; confirm/relabel by listening
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,pugu,from shortlist priority=116.65; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_tuned_strong_context.csv; confirm/relabel by listening
