wav_path,start_sec,end_sec,species,population,notes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=uncertain; top1=Galagoides_sp_nov p1=0.333; filename_hint: zanzibaricus in filename under Paragalago_rondoensis folder
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunt + Buzz G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=uncertain; top1=Paragalago_orinus p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\durc_01.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Chatter G rondoensis - Pugu.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Double Unit Rolling Call - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid Whistle - G rondoensis -Pugu.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz + Rapid whistle G rondoensis - Rondo.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Pande-GR-durc1 24KHz.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Buzz - G rondoensis - Pugu.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Double Squawk G rondoensis - Rondo.wav,,,Paragalago_rondoensis,,stub from cluster shortlist; folder_label=Paragalago_rondoensis; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_2.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Trailing_Call.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Groan.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Yaps.wav,,,Paragalago_orinus,,stub from cluster shortlist; folder_label=Paragalago_orinus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Shreek.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Descending Whistle G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_orinus; top1=Paragalago_orinus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Squeak G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_zanzibaricus; top1=Paragalago_zanzibaricus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps Descending Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=1.000; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Screech G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunts Yap G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Galago_moholi; top1=Galago_moholi p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Strident yap G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.975; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Buzz.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=Paragalago_granti; top1=Paragalago_granti p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Whistle_Yap.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=Paragalago_rondoensis; top1=Paragalago_rondoensis p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Trailing_Call.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=Paragalago_orinus; top1=Paragalago_orinus p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\trail_01.wav,,,Otolemur_garnettii,,stub from cluster shortlist; folder_label=Otolemur_garnettii; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Rapid_Yaps.wav,,,Paragalago_orinus,,stub from cluster shortlist; folder_label=Paragalago_orinus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Scaling_Call.wav,,,Paragalago_orinus,,stub from cluster shortlist; folder_label=Paragalago_orinus; output=Paragalago_rondoensis; top1=Paragalago_rondoensis p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Descending_Shreek.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Yaps.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Incremental call - fast G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Trumpet Short Screech G sp nov 1.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_zanzibaricus; top1=Paragalago_zanzibaricus p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Chatter G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Galagoides_demidovii; top1=Galagoides_demidovii p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Chatter staccato G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Paragalago_zanzibaricus; top1=Paragalago_zanzibaricus p1=0.963; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Tambourine_Call.wav,,,Paragalago_orinus,,stub from cluster shortlist; folder_label=Paragalago_orinus; output=Galagoides_sp_nov; top1=Galagoides_sp_nov p1=0.947; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_granti\Buzz-Screech+ Grunt G granti.wav,,,Paragalago_granti,,stub from cluster shortlist; folder_label=Paragalago_granti; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.423; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Intense_Shreek.wav,,,Paragalago_orinus,,stub from cluster shortlist; folder_label=Paragalago_orinus; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.423; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Shreek_Yaps.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=Otolemur_garnettii; top1=Otolemur_garnettii p1=0.423; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Repetitive Call G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.423; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Rapid Whistle G sp nov 3.wav,,,Galagoides_sp_nov,,stub from cluster shortlist; folder_label=Galagoides_sp_nov; output=Otolemur_crassicaudatus; top1=Otolemur_crassicaudatus p1=0.423; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_granti\Incremental call  G granti.wav,,,Paragalago_granti,,stub from cluster shortlist; folder_label=Paragalago_granti; output=uncertain; top1=Galagoides_demidovii p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,,stub from cluster shortlist; folder_label=Paragalago_zanzibaricus; output=uncertain; top1=Galagoides_sp_nov p1=0.333; EDIT species + add start/end if needed
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Squwk.wav,,,Otolemur_crassicaudatus,,stub from cluster shortlist; folder_label=Otolemur_crassicaudatus; output=uncertain; top1=Otolemur_crassicaudatus p1=0.333; EDIT species + add start/end if needed
