wav_path,start_sec,end_sec,species,population,notes,ingest
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_rondoensis\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,pugu,from shortlist priority=229.99; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_after_retrain.csv; filename_hint: zanzibaricus in filename under Paragalago_rondoensis folder,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus.wav,,,Otolemur_crassicaudatus,,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_2.wav,,,Otolemur_crassicaudatus,,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Trailing_Call.wav,,,Otolemur_crassicaudatus,,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii.wav,,,Otolemur_garnettii,,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Groan.wav,,,Otolemur_garnettii,,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Yaps.wav,,,Paragalago_orinus,,from shortlist priority=150.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Shreek.wav,,,Paragalago_zanzibaricus,,from shortlist priority=150.0; model_top1=Galagoides_sp_nov (1.000); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Descending Whistle G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Paragalago_orinus (1.000); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Squeak G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Paragalago_zanzibaricus (1.000); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps Descending Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=150.0; model_top1=Otolemur_crassicaudatus (1.000); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Double Screech G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.75; model_top1=Otolemur_crassicaudatus (0.975); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Grunts Yap G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.75; model_top1=Galago_moholi (0.975); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Strident yap G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.75; model_top1=Otolemur_crassicaudatus (0.975); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Buzz.wav,,,Otolemur_crassicaudatus,,from shortlist priority=148.15; model_top1=Paragalago_granti (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Whistle_Yap.wav,,,Otolemur_crassicaudatus,,from shortlist priority=148.15; model_top1=Paragalago_rondoensis (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\O_garnettii_Trailing_Call.wav,,,Otolemur_garnettii,,from shortlist priority=148.15; model_top1=Paragalago_orinus (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_garnettii\trail_01.wav,,,Otolemur_garnettii,,from shortlist priority=148.15; model_top1=Galagoides_demidovii (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Rapid_Yaps.wav,,,Paragalago_orinus,,from shortlist priority=148.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Scaling_Call.wav,,,Paragalago_orinus,,from shortlist priority=148.15; model_top1=Paragalago_rondoensis (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus.wav,,,Paragalago_zanzibaricus,,from shortlist priority=148.15; model_top1=Otolemur_crassicaudatus (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Descending_Shreek.wav,,,Paragalago_zanzibaricus,,from shortlist priority=148.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Yaps.wav,,,Paragalago_zanzibaricus,,from shortlist priority=148.15; model_top1=Galagoides_sp_nov (0.963); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Incremental call - fast G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=148.15; model_top1=Otolemur_garnettii (0.963); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.1\Trumpet Short Screech G sp nov 1.wav,,,Galagoides_sp_nov,malawi_spnov1,from shortlist priority=148.15; model_top1=Paragalago_zanzibaricus (0.963); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Chatter G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.15; model_top1=Galagoides_demidovii (0.963); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Chatter staccato G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=148.15; model_top1=Paragalago_zanzibaricus (0.963); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Tambourine_Call.wav,,,Paragalago_orinus,,from shortlist priority=147.35; model_top1=Galagoides_sp_nov (0.947); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_granti\Buzz-Screech+ Grunt G granti.wav,,,Paragalago_granti,,from shortlist priority=121.15; model_top1=Otolemur_garnettii (0.423); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_orinus\G_orinus_Intense_Shreek.wav,,,Paragalago_orinus,,from shortlist priority=121.15; model_top1=Otolemur_garnettii (0.423); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\G_zanzibaricus_Shreek_Yaps.wav,,,Paragalago_zanzibaricus,,from shortlist priority=121.15; model_top1=Otolemur_garnettii (0.423); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Repetitive Call G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=121.15; model_top1=Otolemur_crassicaudatus (0.423); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\G.sp.nov.3\Yaps + Rapid Whistle G sp nov 3.wav,,,Galagoides_sp_nov,malawi_spnov3,from shortlist priority=121.15; model_top1=Otolemur_crassicaudatus (0.423); source=predictions_3stage_malawi_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_granti\Incremental call  G granti.wav,,,Paragalago_granti,,from shortlist priority=116.65; model_top1=Galagoides_demidovii (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Paragalago_zanzibaricus\Single Unit Rolling Call - G zanzibaricus - Pugu.wav,,,Paragalago_zanzibaricus,pugu,from shortlist priority=116.65; model_top1=Galagoides_sp_nov (0.333); source=predictions_3stage_tanzania_after_retrain.csv; DUPLICATE_FOLDER_COPY same recording as row1 (rondoensis folder) — ingest one mel or skip duplicate,yes
C:\Users\galag\GitHub\galago_audio_project\data\raw_audio\Otolemur_crassicaudatus\O_crassicaudatus_Squwk.wav,,,Otolemur_crassicaudatus,,from shortlist priority=83.34; model_top1=Otolemur_crassicaudatus (0.333); source=predictions_3stage_kenya_after_retrain.csv; confirm/relabel by listening,yes
